season,meeting_key,meeting_name,meeting_date_start,session_key,session_name,driver_number,driver_name,team_name,lap_number,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,st_speed,is_pit_out_lap,weather_date,track_temperature,air_temperature,stint_number,compound,stint_lap_start,stint_lap_end,tyre_age_at_start,tyre_age_at_lap,avg_speed,max_speed,min_speed,speed_std,avg_rpm,max_rpm,min_rpm,rpm_std,avg_throttle,max_throttle,min_throttle,throttle_std,full_throttle_pct,brake_pct,brake_events,hard_brake_events,drs_pct,gear_changes,distance_traveled,trajectory_length,trajectory_variation,telemetry_points,trajectory_points,has_telemetry,has_trajectory
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,34,80.248,23.942,32.106,24.2,267.0,266,,False,2023-06-04 13:48:27.795000+00:00,30.2,22.0,3,MEDIUM,23,50,0,11.0,208.18910256410257,304.0,95.0,59.59526533607062,10399.397435897436,12008.0,6769.0,1129.4338505702483,66.16346153846153,100.0,0.0,40.33150544682773,0.48717948717948717,0.1794871794871795,6,6,0.0,32,45966.51448552412,45966.51448552412,1.7857840953008106,312,308,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,35,80.288,23.771,32.208,24.309,,266,303.0,False,2023-06-04 13:50:27.793000+00:00,30.3,22.1,3,MEDIUM,23,50,0,12.0,209.8655737704918,304.0,93.0,59.43718239368599,10537.068852459017,12126.0,7146.0,1058.2374172769137,66.3967213114754,100.0,0.0,40.02118278133987,0.4819672131147541,0.17704918032786884,7,7,0.0,34,45789.764441201514,45789.764441201514,1.8015797329566265,305,316,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,36,80.499,23.913,32.195,24.391,269.0,267,,False,2023-06-04 13:51:27.808000+00:00,30.4,22.0,3,MEDIUM,23,50,0,13.0,206.46153846153845,305.0,92.0,60.70219832851256,10342.819397993311,12090.0,6547.0,1221.575344339417,66.58528428093645,100.0,0.0,39.776489890337324,0.46488294314381273,0.1806020066889632,6,6,0.0,31,46180.231831822835,46180.231831822835,1.7823027329054357,299,318,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,37,80.461,23.739,32.176,24.546,267.0,271,304.0,False,2023-06-04 13:52:27.807000+00:00,30.4,22.1,3,MEDIUM,23,50,0,14.0,208.12152777777777,306.0,92.0,60.80161120762897,10375.180555555555,12092.0,6626.0,1197.4329698983954,65.21180555555556,100.0,0.0,40.99238072246506,0.4513888888888889,0.18055555555555555,8,8,0.0,30,45867.34876331914,45867.34876331914,1.7745112028072563,288,313,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,38,82.135,25.163,32.698,24.274,215.0,263,,False,2023-06-04 13:54:27.804000+00:00,30.1,22.1,3,MEDIUM,23,50,0,15.0,204.5663430420712,305.0,90.0,58.473347176233666,10361.828478964402,12147.0,6492.0,1217.4068412747138,61.19093851132686,100.0,0.0,40.74626413386593,0.4045307443365696,0.20064724919093851,8,8,0.0,34,46165.945235775085,46165.945235775085,1.8023850969772173,309,318,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,39,80.469,23.701,32.383,24.385,260.0,264,306.0,False,2023-06-04 13:55:27.803000+00:00,29.9,22.2,3,MEDIUM,23,50,0,16.0,208.50645161290322,308.0,91.0,61.28372638528938,10367.31935483871,12085.0,6545.0,1219.989896023563,66.0,100.0,0.0,40.22950289558406,0.46774193548387094,0.1935483870967742,6,6,0.03870967741935484,30,45928.15428300253,45928.15428300253,1.774341344837227,310,312,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,40,79.881,23.342,32.286,24.253,269.0,266,322.0,False,2023-06-04 13:57:27.801000+00:00,29.9,22.1,3,MEDIUM,23,50,0,17.0,208.52475247524754,324.0,90.0,62.69833387326401,10350.600660066006,12029.0,6486.0,1211.681251150237,65.14851485148515,100.0,0.0,40.764327770569366,0.46864686468646866,0.2079207920792079,6,6,0.0924092409240924,32,45879.68375018782,45879.68375018782,1.7906599616553909,303,307,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,41,80.992,24.409,32.353,24.23,259.0,269,296.0,False,2023-06-04 13:58:27.800000+00:00,29.9,22.1,3,MEDIUM,23,50,0,18.0,206.55844155844156,301.0,90.0,60.68092909648647,10485.431818181818,12201.0,7005.0,1088.4304730674758,64.28246753246754,100.0,0.0,40.74885168187937,0.474025974025974,0.20454545454545456,7,7,0.0,36,45815.229992287874,45815.229992287874,1.7916351607913663,308,310,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,42,80.707,23.861,32.519,24.327,257.0,261,307.0,False,2023-06-04 13:59:27.799000+00:00,29.9,22.1,3,MEDIUM,23,50,0,19.0,207.5938566552901,308.0,88.0,62.520240243260545,10347.481228668941,12071.0,6337.0,1253.791964642966,64.91126279863481,100.0,0.0,40.86762501263387,0.4812286689419795,0.20477815699658702,6,6,0.051194539249146756,33,45834.68428861206,45834.68428861206,1.8207027337949484,293,314,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,43,79.576,23.25,32.192,24.134,263.0,268,323.0,False,2023-06-04 14:01:27.812000+00:00,29.9,22.1,3,MEDIUM,23,50,0,20.0,210.52650176678446,324.0,91.0,62.07548554324975,10428.455830388693,12212.0,6514.0,1172.5184549511318,66.31448763250883,100.0,0.0,39.88060850820646,0.4664310954063604,0.1978798586572438,7,7,0.09540636042402827,29,45817.61347665695,45817.61347665695,1.7802294308439888,283,309,True,True
